Stock,annualized_vol,downside_vol,max_drawdown,vol_clustering,autocorr_1d,autocorr_5d,hurst,momentum_strength,beta_to_vnindex,skewness,kurtosis,var_5,cvar_5,limit_hit,trend_change_freq
HAH,0.4571233847311877,0.38454504892963354,-0.7760707635009311,0.9365491404578858,0.09316321505115535,-0.0020822146699377223,,0.0017658281992716726,,-1.646502449130329,18.667864128776273,-0.04496844973469095,-0.06949274001745769,0.03257142857142857,0.018846373500856654
HAP,0.4058614495094149,0.2991383979618387,-0.7979166666666666,0.9567630145639628,0.2667764042556761,0.04428924736835142,,7.08951751273515e-05,,0.24840752579191377,2.839012796806279,-0.041348723047287705,-0.06071019895774157,0.03268348623853211,0.022349570200573064
HCM,0.5035623610526773,0.4263628624597896,-0.878804347826087,0.9258638288703764,0.014706307914155625,-0.020968509879133117,,-6.949073151137422e-05,,-2.2649121539358754,28.09210297034592,-0.058613665143423366,-0.07554819012310598,0.029697315819531698,0.016552511415525113
HDB,0.5270206135507208,0.647715948258586,-1.0,0.7777083859596801,0.061899156106487455,-0.023845127991133152,,-0.002180048721159532,,-16.120576003231957,472.06746091223096,-0.03455657693725956,-0.0690826286083403,0.012041284403669725,0.02177650429799427
HDC,0.6082433995054791,0.6669700277675512,-1.0,0.8226349548159692,0.07365764952593909,0.02017324996204648,,-0.0005866499699409902,,-10.445476329459854,265.2303577304781,-0.053571941145064896,-0.08404630346892841,0.04509132420091324,0.025099828864803195
HDG,0.5870843303592341,0.6637328561145418,-1.0,0.801996215464286,0.04723061628100726,0.01934041393470262,,-0.0010973676991378883,,-11.794976787266567,306.09050625223364,-0.048256898752823386,-0.08357066756336673,0.033105022831050226,0.022818026240730177
HGM,0.48954199136616366,0.5443431482727918,-0.4049586776859504,0.9536582654363548,-0.10176599809252608,-0.025044634454798556,,0.008443337277159478,,0.522653167138782,5.335203972069818,-0.053566154504582714,-0.08245782048687947,0.09428571428571429,0.02227298686464877
HOM,0.4767956886078805,0.30172451352348023,-0.6756756756756757,0.9548509238346468,-0.11096968720484311,0.01950472784178875,,0.004023153616114779,,0.2926469384304681,1.8198456316213827,-0.050612244897959166,-0.06772883891418369,0.05317324185248713,0.02057142857142857
HPG,0.5546469983150444,0.6589832334627725,-1.0,0.822027753858486,0.005955983534623515,-0.00014532595578199063,,-0.0014171953520561095,,-14.350837437348567,388.49914536586823,-0.03724077712289894,-0.07426466288937889,0.009158557527189467,0.020594965675057208
HSG,0.6129666154499568,0.6257725215857737,-1.0,0.8030166401300198,0.07252365302561192,0.03214468926552533,,-0.0002075970498490176,,-9.923275470044707,255.8668006999818,-0.05968981217985198,-0.07908627745354962,0.04235832856325129,0.016018306636155607
