stock_code,primary_class,confidence_score,annualized_volatility,max_drawdown,autocorr_1d,hurst_exponent,beta_to_vnindex,sample_size,date_range,composite_score
TLI,High_Risk,0.9583851493528195,0.9369058635532631,-0.9047619047619048,-0.05610428510508022,-0.002485148958337637,0.32465768178911947,1217,2019-01-28 to 2023-12-29,0.7946817655343333
JVC,High_Risk,0.9583050972038671,0.5256434569871796,-0.8282527881040892,0.18975533512558096,0.025940388643418046,0.9477268754443905,1496,2018-01-03 to 2023-12-29,0.9999999999999999
LDP,High_Risk,0.9560164496230927,0.6779115694695247,-0.9197080291970803,0.004961216361097101,-0.004399470140234275,0.43585531317665815,1496,2018-01-03 to 2023-12-29,0.7274443249291429
MLS,High_Risk,0.9540392970677585,0.7360051450812425,-0.8051001821493625,-0.025764641359716883,-0.004168565663636305,0.5395980768751462,1480,2018-01-03 to 2023-12-29,0.7285182992389009
SJG,High_Risk,0.9539838504669658,0.925540902372685,-0.7414248021108178,-0.08182312749648898,-0.013101545672268905,0.3199684278934744,1457,2018-02-13 to 2023-12-29,0.7400046675118057
AMV,High_Risk,0.9526540714234404,0.5309350506730907,-0.9316455696202531,0.06031046443021495,0.004035439483271681,1.062896376650549,1496,2018-01-03 to 2023-12-29,0.8352316618142643
ASM,High_Risk,0.952228350263929,0.49374736561173593,-0.7755775577557755,0.17448684447267082,0.029818594062635546,1.2492861895606115,1497,2018-01-03 to 2023-12-29,0.9999999999999999
SKG,High_Risk,0.9521752654732693,0.41286149625573354,-0.784923076923077,0.12299533087730564,0.01240410882218461,0.9523502182163269,1497,2018-01-03 to 2023-12-29,0.7267585310074084
VRC,High_Risk,0.9508157031031752,0.5425429817699453,-0.8566666666666667,0.23534687710253724,0.04416241089636942,0.93336623361949,1497,2018-01-03 to 2023-12-29,0.9999999999999999
MPT,High_Risk,0.9499017326075186,0.7660572201421563,-0.9206349206349207,-0.11184815247409749,-0.007980703226522824,0.539426416936365,1486,2018-01-03 to 2023-12-29,0.9045860962922582
VIG,High_Risk,0.9480208833227083,0.8501005415957024,-0.8529411764705882,-0.11498313167680224,-0.01669696888407123,1.3110900746664556,1485,2018-01-03 to 2023-12-29,0.8999999999999999
ROS,High_Risk,0.9470341005963887,0.5793989154085266,-0.9880160550458715,0.25772308960869744,0.048910371510507304,0.8957794203604399,1150,2018-01-03 to 2022-08-12,0.9999999999999999
MML,High_Risk,0.9449252152153289,0.478332176645943,-0.772020725388601,-0.08698459032239236,-0.009428603458188184,0.4832917906296198,1002,2019-12-10 to 2023-12-29,0.8293903860162677
CTD,High_Risk,0.9426859578199097,0.4568236695589019,-0.8904347826086957,0.1716743437396129,0.02542260715392334,1.0836287222851007,1497,2018-01-03 to 2023-12-29,0.9146310664910339
DXG,High_Risk,0.9412443344082699,0.5253769417747659,-0.8175401069518717,0.09051263179063493,0.007423149943109446,1.687085132843756,1497,2018-01-03 to 2023-12-29,0.9243837580782281
TGG,High_Risk,0.9408497726810944,0.6933562818146533,-0.9745874587458746,0.3497399180733877,0.05618815220621049,0.873695879669535,1350,2018-05-28 to 2023-12-15,0.9999999999999999
VGT,High_Risk,0.9406780836575561,0.5057850644523427,-0.760655737704918,0.10677329955519353,0.01058998840247468,1.3517009326313179,1482,2018-01-03 to 2023-12-29,0.9435512882164655
NKG,High_Risk,0.9401242152509018,0.5110374896888649,-0.9006772009029345,0.16756156951283582,0.028078081969519417,1.3805097740100536,1495,2018-01-03 to 2023-12-29,0.9999999999999999
IDI,High_Risk,0.9400423390497261,0.519877609688298,-0.8235294117647058,0.20563224546216194,0.03363421811353976,1.1569021923994158,1496,2018-01-03 to 2023-12-29,0.9999999999999999
PSH,High_Risk,0.9381081951165687,0.5242374681688233,-0.8804314329738059,0.22598624685887256,0.03499283379296552,0.912687562634862,883,2020-06-25 to 2023-12-29,0.9999999999999999
