symbol,volatility,max_drawdown,autocorr,hurst,days,norm_vol,norm_dd,norm_autocorr,norm_hurst,composite_score,risk_class
EQR,0.2840447721849764,0.5270965350977754,-0.061939114346622894,1.0143331172028844,1509,0.13074524864614945,0.296236610811122,0.5076522717999843,0.6670876401467772,0.309408301076471,Low
ES,0.26176163568580896,0.497633206563053,-0.059099777292223175,1.0237713691740666,1509,0.09469292710781138,0.24951469226809994,0.5174383714139359,0.8731813376718427,0.303537386573526,Low
ESS,0.29505741916709366,0.5272694828998798,-0.054551894569202515,1.0176055013232888,1509,0.14856282517997055,0.29651086540230287,0.5331131689132624,0.738543429328464,0.32885536640817803,Low
ETN,0.3044424967688565,0.7773179053062692,-0.09158198310985087,1.0172285766678881,1509,0.16374712544100647,0.6930289305528314,0.4054847372655634,0.7303129014556056,0.4275357669409253,Medium
ETSY,0.6106603613838456,0.9402849371070249,0.051786320969659856,1.0202354271184035,1509,0.6591829863798526,0.9514563643717825,0.8996199802200213,0.7959704966484163,0.8086311495723216,High
EW,0.3336034717746031,0.7153861741912071,-0.011244640298336729,1.001451014081045,1509,0.21092723616365522,0.5948197518792062,0.682376569552756,0.38579399886814575,0.4378715338265897,Medium
EXAS,0.5899513564521196,0.755886707350866,-0.01679241454758779,1.017033803289671,1509,0.625677483033611,0.659044084476405,0.6632555316489399,0.7260598294017163,0.6532413078263256,High
EXC,0.2715546054322636,0.6038708888013691,-0.15312833807142678,1.0048329236199587,1509,0.1105371640323391,0.41798270259111714,0.19335819188191095,0.45964138540731764,0.25424545330738474,Low
F,0.4088811751786447,0.8416073966763461,0.022036907623027114,1.0213794010600443,1509,0.3327205020215182,0.7949769631868623,0.7970852276038618,0.8209503149691114,0.6130933667823495,High
FAF,0.32737285909571734,0.611215957174357,0.012350368021829372,1.027022500803286,1509,0.200846606280675,0.4296302557795234,0.7636994619706763,0.9441730573941329,0.4563849173796756,High
